"id","state","city","lat","lng","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"SI042","Gorenjska","Kranj",,,204670,,,,,95,
"SI043","Goriška","Nova Gorica",,,117616,,,,,51,
"SI037","Jugovzhodna Slovenija","Novo Mesto",,,144032,,,,,53,
"SI033","Koroška","Slovenj Gradec",,,70588,,,,,68,
"SI044","Obalno-kraška","Koper",,,115016,,,,,110,
"SI041","Osrednjeslovenska","Ljubljana",,,564527,,,,,230,
"SI032","Podravska","Maribor",,,324104,,,,,150,
"SI031","Pomurska","Murska Sobota",,,114287,,,,,87,
"SI036","Posavska","Krško",,,70067,,,,,78,
"SI038","Primorsko-notranjska","Postojna",,,52544,,,,,36,
"SI034","Savinjska","Celje",,,261851,,,,,110,
"SI035","Zasavska","Trbovlje",,,41606,,,,,120,
